date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:27	83466/83466	---MCZ	200	added ('OK')	text/html	etag:W/%22074404f48b5e616ad5c1aec57d390627%22	https://thetork.com/demos/html/bitrader/index-2.html?theme=dark	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/bitrader/index-24965.html	(from )
16:01:28	5053/5053	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%227e2a2dbd82b06b67b01fff21db6a6c4a%22	https://thetork.com/robots.txt		(from )
16:01:28	134/134	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2015%20Nov%202024%2010:31:29%20GMT	https://thetork.com/demos/html/Bitrader/	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/Bitrader/index.html	(from https://thetork.com/demos/html/bitrader/index-2.html?theme=dark)
16:01:28	314705/314705	---M--	200	added ('OK')	image/png	etag:%22b21c50ef51e03f9cfc326c81af627f2f%22	https://thetork.com/demos/html/bitrader/assets/images/og.png	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/bitrader/assets/images/og.png	(from https://thetork.com/demos/html/bitrader/index-2.html?theme=dark)
16:01:28	690/690	---M--	200	added ('OK')	image/png	etag:%221252239cdee04505706bc0035e9cfa4d%22	https://thetork.com/demos/html/bitrader/assets/images/favicon.png	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/bitrader/assets/images/favicon.png	(from https://thetork.com/demos/html/bitrader/index-2.html?theme=dark)
16:01:29	232914/232914	---MCZ	200	added ('OK')	text/css	etag:W/%22fe7fdfec700d100dc745dc64d3600cb2%22	https://thetork.com/demos/html/bitrader/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/bitrader/assets/css/bootstrap.min.css	(from https://thetork.com/demos/html/bitrader/index-2.html?theme=dark)
16:01:29	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%22847da8fca8060ca1a70f976aab1210b9%22	https://thetork.com/demos/html/bitrader/assets/css/aos.css	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/bitrader/assets/css/aos.css	(from https://thetork.com/demos/html/bitrader/index-2.html?theme=dark)
16:01:30	102025/102025	---MCZ	200	added ('OK')	text/css	etag:W/%222fd961571c270c2d63b165a97488fe95%22	https://thetork.com/demos/html/bitrader/assets/css/all.min.css	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/bitrader/assets/css/all.min.css	(from https://thetork.com/demos/html/bitrader/index-2.html?theme=dark)
16:01:30	16493/16493	---MCZ	200	added ('OK')	text/css	etag:W/%2204720c60bc020cbba92785dd4029f7d2%22	https://thetork.com/demos/html/bitrader/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/bitrader/assets/css/swiper-bundle.min.css	(from https://thetork.com/demos/html/bitrader/index-2.html?theme=dark)
16:01:31	259734/259734	---MCZ	200	added ('OK')	text/css	etag:W/%22f458043a19576378b6a048b96f10e222%22	https://thetork.com/demos/html/bitrader/assets/css/style.css	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/bitrader/assets/css/style.css	(from https://thetork.com/demos/html/bitrader/index-2.html?theme=dark)
16:01:31	1639/1639	---M--	200	added ('OK')	image/png	etag:%228b1eccf8a4b9d86b977ba25f701c837f%22	https://thetork.com/demos/html/bitrader/assets/images/logo/preloader.png	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/bitrader/assets/images/logo/preloader.png	(from https://thetork.com/demos/html/bitrader/index-2.html?theme=dark)
16:01:31	520/520	---M--	200	added ('OK')	image/svg+xml	etag:%2211cfba1dcca7b3550cdc0e13def7bcf7%22	https://thetork.com/demos/html/bitrader/assets/images/icon/moon.svg	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/bitrader/assets/images/icon/moon.svg	(from https://thetork.com/demos/html/bitrader/index-2.html?theme=dark)
16:01:32	86881/86881	---MCZ	200	added ('OK')	text/html	etag:W/%222a0c21d5beebc89d1ace1e4b6639b335%22	https://thetork.com/demos/html/bitrader/index.html	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/bitrader/index-2.html	(from https://thetork.com/demos/html/bitrader/index-2.html?theme=dark)
16:01:32	2095/2095	---M--	200	added ('OK')	image/png	etag:%22d01ba10ca2d1f7c6a812aa9a91cad120%22	https://thetork.com/demos/html/bitrader/assets/images/logo/logo-dark.png	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/bitrader/assets/images/logo/logo-dark.png	(from https://thetork.com/demos/html/bitrader/index-2.html?theme=dark)
16:01:32	43602/43602	---M--	200	added ('OK')	image/png	etag:%2275467fdb4ea3f7124411030282ff4f6d%22	https://thetork.com/demos/html/bitrader/assets/images/demo/1.png	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/bitrader/assets/images/demo/1.png	(from https://thetork.com/demos/html/bitrader/index-2.html?theme=dark)
16:01:33	86881/86881	---MCZ	200	added ('OK')	text/html	etag:W/%222a0c21d5beebc89d1ace1e4b6639b335%22	https://thetork.com/demos/html/bitrader/index.html?theme=light	C:/My%20Web%20Sites/Ritcoin/thetork.com/demos/html/bitrader/index6a08.html	(from https://thetork.com/demos/html/bitrader/index-2.html?theme=dark)
